"","Word","Length","Freq_KF","Freq_HAL","SUBTLWF","Ortho_N","Phono_N","NSyll","NMorph","I_Mean_RT","I_Zscore","Obs","I_Mean_Accuracy"
"1","Aaron",5,"7","10,806","14.650",4,5,"2","1","736.062","-0.111","27","0.97"
"2","aback",5,"2","387","0.290",2,3,"2","1","796.267","0.110","26","0.45"
"3","abase",5,"#","30","0.060",3,3,"2","2","803.273","0.029","23","0.69"
"4","abash",5,"#","1","#",2,1,"2","1","748.714","0.229","28","0.68"
"5","abate",5,"#","279","0.100",2,6,"2","1","719.542","-0.092","28","0.71"
"6","abbey",5,"7","2,286","3.180",1,7,"2","1","726.190","-0.103","23","0.66"
"7","abbot",5,"2","616","0.840",0,3,"2","1","808.583","0.207","23","0.71"
"8","abhor",5,"#","383","0.240",0,0,"2","1","786.150","0.125","22","0.57"
"9","abide",5,"7","1,967","2.710",3,3,"2","1","773.212","-0.175","29","0.94"
"10","abode",5,"4","486","0.650",3,2,"2","1","855.833","0.269","24","0.88"
"11","abort",5,"#","2,778","4.610",1,2,"2","1","672.484","-0.409","27","0.97"
"12","about",5,"1,815","1,307,019","3,631.490",1,3,"2","1","628.194","-0.561","28","0.94"
"13","above",5,"296","177,919","48.880",1,1,"2","1","564.333","-0.855","28","0.94"
"14","abuse",5,"18","25,915","10.250",2,2,"2","1","608.688","-0.703","25","0.97"
"15","abyss",5,"4","4,219","1.760",0,3,"2","1","651.440","-0.340","28","0.76"
"16","ached",5,"3","296","0.310",2,8,"1","2","797.036","0.041","27","0.88"
"17","aches",5,"1","419","1.510",3,14,"1","2","683.774","-0.332","22","0.91"
"18","acids",5,"7","2,326","0.820",0,0,"2","2","636.750","-0.420","27","0.91"
"19","acorn",5,"#","8,301","0.730",2,1,"2","1","721.963","-0.237","24","0.79"
"20","acres",5,"44","3,930","4.590",1,0,"2","2","679.030","-0.288","29","0.97"
"21","acrid",5,"1","111","0.040",0,0,"2","1","762.294","0.173","22","0.52"
"22","acted",5,"18","4,894","10.750",2,1,"2","2","652.758","-0.468","25","0.97"
"23","actor",5,"24","10,471","26.330",1,5,"2","2","539.970","-0.831","28","0.97"
"24","acute",5,"13","2,427","2.940",0,1,"2","1","649.529","-0.452","27","1.00"
"25","adage",5,"3","503","0.630",1,3,"2","1","769.846","0.383","16","0.41"
"26","adapt",5,"5","3,389","2.630",2,2,"2","1","660.364","-0.556","27","1.00"
"27","Ada's",5,"4","166","#",1,6,"2","2","926.579","0.397","23","0.56"
"28","added",5,"172","62,085","9.650",2,7,"2","2","644.000","-0.556","27","1.00"
"29","adder",5,"#","351","1.430",5,11,"2","1","732.000","0.179","26","0.49"
"30","addle",5,"#","7","0.160",1,7,"2","1","1,107.125","0.286","21","0.24"
"31","Adele",5,"2","212","#",1,2,"2","1","881.286","0.229","15","0.64"
"32","adept",5,"4","1,754","0.650",2,2,"2","1","759.208","-0.140","26","0.75"
