prime,target,condition,primetype,corrAns
arrow,ARROW,low,related,J
pitch,PITCH,low,related,J
hatch,HATCH,low,related,J
shark,SHARK,low,related,J
tooth,TOOTH,low,related,J
booth,BOOTH,low,related,J
pound,POUND,low,related,J
weigh,WEIGH,low,related,J
blank,BLANK,low,related,J
crush,CRUSH,low,related,J
bench,BENCH,low,related,J
fetch,FETCH,low,related,J
cheek,CHEEK,low,related,J
swamp,BRUSH,low,unrelated,J
depth,MARCH,low,unrelated,J
flesh,BLEED,low,unrelated,J
harsh,CLIFF,low,unrelated,J
creep,FRAUD,low,unrelated,J
plead,CLOUD,low,unrelated,J
thumb,FLUID,low,unrelated,J
creek,TRASH,low,unrelated,J
blond,FLUSH,low,unrelated,J
stink,PORCH,low,unrelated,J
patch,STIFF,low,unrelated,J
sweep,COUGH,low,unrelated,J
squad,SMASH,low,unrelated,J
blood,BLOOD,high,related,J
bunch,BUNCH,high,related,J
catch,CATCH,high,related,J
stuff,STUFF,high,related,J
break,BREAK,high,related,J
speak,SPEAK,high,related,J
stick,STICK,high,related,J
sleep,SLEEP,high,related,J
wrong,WRONG,high,related,J
grand,GRAND,high,related,J
mouth,MOUTH,high,related,J
knock,KNOCK,high,related,J
guard,GUARD,high,related,J
thing,SMALL,high,unrelated,J
round,CHECK,high,unrelated,J
proud,WATCH,high,unrelated,J
smell,GROUP,high,unrelated,J
earth,MONTH,high,unrelated,J
relax,SOUTH,high,unrelated,J
truck,LUNCH,high,unrelated,J
throw,CLOCK,high,unrelated,J
death,SOUND,high,unrelated,J
north,DRINK,high,unrelated,J
young,TOUCH,high,unrelated,J
weird,LAUGH,high,unrelated,J
reach,BLACK,high,unrelated,J
alkew,ALKEW,non-word,related,F
agink,AGINK,non-word,related,F
ruzak,RUZAK,non-word,related,F
sondo,SONDO,non-word,related,F
guesh,GUESH,non-word,related,F
fadio,FADIO,non-word,related,F
plich,PLICH,non-word,related,F
sgrew,SGREW,non-word,related,F
sceak,SCEAK,non-word,related,F
ghisk,GHISK,non-word,related,F
deirm,DEIRM,non-word,related,F
villo,VILLO,non-word,related,F
tidow,TIDOW,non-word,related,F
drick,DRICK,non-word,related,F
phick,PHICK,non-word,related,F
nello,NELLO,non-word,related,F
feach,FEACH,non-word,related,F
tello,TELLO,non-word,related,F
dolio,DOLIO,non-word,related,F
gorgo,GORGO,non-word,related,F
whilo,WHILO,non-word,related,F
stanf,STANF,non-word,related,F
crulk,CRULK,non-word,related,F
phumb,PHUMB,non-word,related,F
sirth,SIRTH,non-word,related,F
slerk,SLERK,non-word,related,F
nualm,VITBO,non-word,unrelated,F
ofium,SUNCH,non-word,unrelated,F
croik,SOETH,non-word,unrelated,F
valuo,ELTOW,non-word,unrelated,F
sorgo,FRAMO,non-word,unrelated,F
shavo,LUMPO,non-word,unrelated,F
oceab,SPUFF,non-word,unrelated,F
tolio,GATOB,non-word,unrelated,F
theck,NOSOM,non-word,unrelated,F
tooch,GEZZO,non-word,unrelated,F
slonk,AFOUB,non-word,unrelated,F
salch,WATEB,non-word,unrelated,F
raceb,NELCH,non-word,unrelated,F
ahack,DAHOO,non-word,unrelated,F
fideo,DRIEK,non-word,unrelated,F
fluko,GNASK,non-word,unrelated,F
cyrrh,BROSK,non-word,unrelated,F
revuo,DUVEZ,non-word,unrelated,F
cempo,FIELM,non-word,unrelated,F
exulk,PUMPH,non-word,unrelated,F
kleck,GERIF,non-word,unrelated,F
bonth,RACEF,non-word,unrelated,F
scook,PHEEK,non-word,unrelated,F
slork,PRUAW,non-word,unrelated,F
whilf,GUILM,non-word,unrelated,F
drosh,LAIRF,non-word,unrelated,F
