Word,type,Mean_RT,Mean_Accuracy,freq.bin,SUBTLWF,Freq_HAL,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_SD,NWI_Zscore,Obs
arrow,word,629.188,0.97,low,7.84,7324,5,0,NA,NA,NA,NA,NA,NA
pitch,word,614.176,1,low,15.53,8752,5,9,NA,NA,NA,NA,NA,NA
hatch,word,611.719,0.97,low,12.82,2609,5,11,NA,NA,NA,NA,NA,NA
shark,word,614.719,0.97,low,14.98,3255,5,9,NA,NA,NA,NA,NA,NA
tooth,word,634.559,1,low,13.57,3129,5,3,NA,NA,NA,NA,NA,NA
booth,word,595.029,1,low,20.37,4464,5,4,NA,NA,NA,NA,NA,NA
pound,word,591.03,0.97,low,13.88,7611,5,7,NA,NA,NA,NA,NA,NA
weigh,word,597.086,1,low,7.12,4150,5,2,NA,NA,NA,NA,NA,NA
blank,word,533.031,0.97,low,9.71,15240,5,7,NA,NA,NA,NA,NA,NA
crush,word,614.656,0.97,low,16.8,3571,5,4,NA,NA,NA,NA,NA,NA
bench,word,563.848,1,low,9.67,5360,5,6,NA,NA,NA,NA,NA,NA
fetch,word,654.794,1,low,10.96,3202,5,5,NA,NA,NA,NA,NA,NA
cheek,word,641.848,0.97,low,7.16,3555,5,4,NA,NA,NA,NA,NA,NA
brush,word,639.382,1,low,14.16,5701,5,3,NA,NA,NA,NA,NA,NA
march,word,613.714,1,low,24.02,74695,5,5,NA,NA,NA,NA,NA,NA
bleed,word,627.394,1,low,10.1,2526,5,4,NA,NA,NA,NA,NA,NA
cliff,word,622.909,0.97,low,21.57,5132,5,0,NA,NA,NA,NA,NA,NA
fraud,word,634.344,1,low,10.04,7665,5,2,NA,NA,NA,NA,NA,NA
cloud,word,576.794,1,low,11.75,6301,5,2,NA,NA,NA,NA,NA,NA
fluid,word,596.382,0.97,low,8.94,6796,5,0,NA,NA,NA,NA,NA,NA
trash,word,594.206,0.97,low,22.47,9768,5,3,NA,NA,NA,NA,NA,NA
flush,word,643.594,0.97,low,9.37,4223,5,5,NA,NA,NA,NA,NA,NA
porch,word,677.294,1,low,9.63,1680,5,6,NA,NA,NA,NA,NA,NA
stiff,word,639.455,0.97,low,10.25,6210,5,4,NA,NA,NA,NA,NA,NA
cough,word,627.176,1,low,8.78,2215,5,11,NA,NA,NA,NA,NA,NA
smash,word,572.471,1,low,8.25,2573,5,3,NA,NA,NA,NA,NA,NA
hunch,word,669.029,0.97,low,7.51,731,5,6,NA,NA,NA,NA,NA,NA
