related,unrelated,word,condition
arrow,hunch,arrow,low
pitch,sneak,pitch,low
hatch,widow,hatch,low
shark,brief,shark,low
tooth,sharp,tooth,low
booth,grief,booth,low
pound,sting,pound,low
weigh,thief,weigh,low
blank,avoid,blank,low
crush,award,crush,low
bench,smack,bench,low
fetch,brand,fetch,low
cheek,salad,cheek,low
brush,swamp,brush,low
march,depth,march,low
bleed,flesh,bleed,low
cliff,harsh,cliff,low
fraud,creep,fraud,low
cloud,plead,cloud,low
fluid,thumb,fluid,low
trash,creek,trash,low
flush,blond,flush,low
porch,stink,porch,low
stiff,patch,stiff,low
cough,sweep,cough,low
smash,squad,smash,low
blood,chief,blood,high
bunch,child,bunch,high
catch,board,catch,high
stuff,tough,stuff,high
break,stand,break,high
speak,beach,speak,high
stick,hotel,stick,high
sleep,angel,sleep,high
wrong,truth,wrong,high
grand,quick,grand,high
mouth,world,mouth,high
knock,extra,knock,high
guard,think,guard,high
small,thing,small,high
check,round,check,high
watch,proud,watch,high
group,smell,group,high
month,earth,month,high
south,relax,south,high
lunch,truck,lunch,high
clock,throw,clock,high
sound,death,sound,high
drink,north,drink,high
touch,young,touch,high
laugh,weird,laugh,high
black,reach,black,high
alkew,grack,alkew,non-word
agink,furob,agink,non-word
ruzak,begro,ruzak,non-word
sondo,labok,sondo,non-word
guesh,gazzo,guesh,non-word
fadio,criam,fadio,non-word
plich,coreb,plich,non-word
sgrew,docab,sgrew,non-word
sceak,colob,sceak,non-word
ghisk,isloo,ghisk,non-word
deirm,ahuck,deirm,non-word
villo,flurb,villo,non-word
tidow,pikto,tidow,non-word
drick,aliom,drick,non-word
phick,purso,phick,non-word
nello,borno,nello,non-word
feach,pacaw,feach,non-word
tello,rilth,tello,non-word
dolio,caveb,dolio,non-word
gorgo,swysh,gorgo,non-word
whilo,lanjo,whilo,non-word
stanf,drief,stanf,non-word
crulk,ocheb,crulk,non-word
phumb,tunch,phumb,non-word
sirth,steaf,sirth,non-word
slerk,nohew,slerk,non-word
vitbo,nualm,vitbo,non-word
sunch,ofium,sunch,non-word
soeth,croik,soeth,non-word
eltow,valuo,eltow,non-word
framo,sorgo,framo,non-word
lumpo,shavo,lumpo,non-word
spuff,oceab,spuff,non-word
gatob,tolio,gatob,non-word
nosom,theck,nosom,non-word
gezzo,tooch,gezzo,non-word
afoub,slonk,afoub,non-word
wateb,salch,wateb,non-word
nelch,raceb,nelch,non-word
dahoo,ahack,dahoo,non-word
driek,fideo,driek,non-word
gnask,fluko,gnask,non-word
brosk,cyrrh,brosk,non-word
duvez,revuo,duvez,non-word
fielm,cempo,fielm,non-word
pumph,exulk,pumph,non-word
gerif,kleck,gerif,non-word
racef,bonth,racef,non-word
pheek,scook,pheek,non-word
pruaw,slork,pruaw,non-word
guilm,whilf,guilm,non-word
lairf,drosh,lairf,non-word
