prime,target,condition,primetype,corrAns
louse,LOUSE,low,related,J
scone,SCONE,low,related,J
ardor,ARDOR,low,related,J
divvy,DIVVY,low,related,J
cacao,CACAO,low,related,J
tulle,TULLE,low,related,J
prole,PROLE,low,related,J
neigh,NEIGH,low,related,J
polyp,POLYP,low,related,J
rebus,REBUS,low,related,J
gipsy,GIPSY,low,related,J
tibia,TIBIA,low,related,J
licit,LICIT,low,related,J
sleet,SLEET,low,related,J
qualm,QUALM,low,related,J
swash,SWASH,low,related,J
bleep,BLEEP,low,related,J
kraut,KRAUT,low,related,J
duvet,DUVET,low,related,J
trice,TRICE,low,related,J
nonce,NONCE,low,related,J
fjord,FJORD,low,related,J
jetty,JETTY,low,related,J
tipsy,TIPSY,low,related,J
igloo,IGLOO,low,related,J
preen,HYENA,low,unrelated,J
kazoo,FRIZZ,low,unrelated,J
poach,BIDET,low,unrelated,J
joule,THERM,low,unrelated,J
scull,PITON,low,unrelated,J
opine,PHIAL,low,unrelated,J
inure,SCOWL,low,unrelated,J
acrid,SCION,low,unrelated,J
droop,SINEW,low,unrelated,J
dowse,PRAWN,low,unrelated,J
crepe,BLEAT,low,unrelated,J
calve,KEBAB,low,unrelated,J
harpy,TAWNY,low,unrelated,J
cluck,EXUDE,low,unrelated,J
beall,MOSEY,low,unrelated,J
miser,SKULK,low,unrelated,J
shuck,MYRRH,low,unrelated,J
umber,SCHWA,low,unrelated,J
hooch,BROIL,low,unrelated,J
idyll,BIJOU,low,unrelated,J
wrack,ADORN,low,unrelated,J
douse,TIARA,low,unrelated,J
adieu,CANNY,low,unrelated,J
tepid,LOLLY,low,unrelated,J
joist,ATOLL,low,unrelated,J
chasm,CHASM,mid,related,J
oxide,OXIDE,mid,related,J
vowel,VOWEL,mid,related,J
clerk,CLERK,mid,related,J
bleed,BLEED,mid,related,J
decor,DECOR,mid,related,J
quirk,QUIRK,mid,related,J
speck,SPECK,mid,related,J
stash,STASH,mid,related,J
ditch,DITCH,mid,related,J
snare,SNARE,mid,related,J
