related,unrelated,word,condition
chasm,smash,chasm,low
oxide,manna,oxide,low
vowel,legit,vowel,low
clerk,blunt,clerk,low
bleed,slope,bleed,low
decor,nasal,decor,low
quirk,forte,quirk,low
speck,aloud,speck,low
stash,nymph,stash,low
ditch,crass,ditch,low
snare,squid,snare,low
budge,swirl,budge,low
slack,grunt,slack,low
sedan,taunt,sedan,low
tally,cigar,tally,low
posit,lunge,posit,low
flock,negro,flock,low
scorn,exert,scorn,low
grail,lathe,grail,low
bloat,viola,bloat,low
tumor,rival,tumor,low
acute,dizzy,acute,low
sauna,hertz,sauna,low
elect,haste,elect,low
spoof,poppy,spoof,low
plush,clove,plush,low
fiend,guise,fiend,low
knelt,magma,knelt,low
privy,lotto,privy,low
sigma,kayak,sigma,low
parse,taint,parse,low
carte,fanny,carte,low
verge,rouge,verge,low
mourn,vitro,mourn,low
shrug,floss,shrug,low
clasp,tempt,clasp,low
bathe,flirt,bathe,low
linen,fluff,linen,low
stare,butch,stare,low
medic,bowel,medic,low
weave,aspen,weave,low
flint,chime,flint,low
flank,crust,flank,low
scrub,spunk,scrub,low
hoist,stoke,hoist,low
stout,dairy,stout,low
cough,stale,cough,low
annex,gypsy,annex,low
plume,gloss,plume,low
quart,topaz,quart,low
proof,shoot,proof,high
clear,usual,clear,high
audio,teach,audio,high
apply,adult,apply,high
phone,allow,phone,high
class,forum,class,high
raise,whole,raise,high
civil,often,civil,high
match,issue,match,high
local,style,local,high
minor,coast,minor,high
below,reach,below,high
extra,smith,extra,high
court,speed,court,high
exact,sense,exact,high
bunch,write,bunch,high
quick,trust,quick,high
birth,sleep,birth,high
truth,reply,truth,high
serve,track,serve,high
trade,dream,trade,high
heart,image,heart,high
index,white,index,high
cable,flame,cable,high
break,value,break,high
woman,avoid,woman,high
front,short,front,high
voice,aware,voice,high
stock,large,stock,high
seven,prove,seven,high
blood,brand,blood,high
plain,river,plain,high
solid,guess,solid,high
limit,month,limit,high
scale,heard,scale,high
stuff,space,stuff,high
major,leave,major,high
brown,agree,brown,high
house,metal,house,high
stage,along,stage,high
built,print,built,high
video,worst,video,high
story,sound,story,high
march,faith,march,high
clean,quote,clean,high
price,train,price,high
event,small,event,high
thank,night,thank,high
radio,shell,radio,high
sorry,alone,sorry,high
inurt,strat,inurt,non-word
shawt,gleat,shawt,non-word
delax,dolio,delax,non-word
thelp,cutch,thelp,non-word
isapt,greaf,isapt,non-word
fopaz,broot,fopaz,non-word
fuxom,lubic,fuxom,non-word
bloot,drirk,bloot,non-word
scart,cooch,scart,non-word
frint,motem,frint,non-word
ahuck,abapt,ahuck,non-word
netro,nigit,netro,non-word
