PAPER,LANGUAGE,N,PRIME_DURATION,MOP_HF,MOP_LF,MOP_Interaction,p<.05?
"Forster, Davis, Schoknecht, & Carter (1987), exp. 1",English,16,60,61,66,5,
"Norris, Kinoshita, Hall, & Henson (2018)",English,16,50,38,51,13,
"Sereno (1991), exp. 1",English,20,60,40,64,24,
"Forster & Davis (1991), exp. 5",English,24,60,54,72,18,
"Bodner & Masson (1997), exp. 1",English,24,60,29,45,16,
"Bodner & Masson (1997), exp. 3",English,24,60,36,50,14,
"Forster, Mohan, & Hector (2003), exp. 1",English,24,60,63,60,-3,
"Kinoshita (2006), exp. 1",English,24,53,32,38,6,
"Kinoshita (2006), exp. 2",English,24,53,29,59,30,*
"Norris & Kinoshita (2008), exp. 1",English,24,53,35,66,31,*
"Forster, Davis, Schoknecht, & Carter (1987), exp. 4",English,27,60,34,25,-9,
"Forster & Davis (1984), exp. 1",English,28,60,45,38,-7,
"Nievas (2010), exp. 1b",Spanish,30,50,44,65,21,*
"Nievas (2010), exp. 2a",Spanish,30,50 or 33,51,58,7,
"Segui & Grainger (1990), exp. 4",French,36,60,42,45,3,
"Bodner & Masson (2001), exps. 2A, 2B, 3, & 6 (average)",English,40,60,37,69,32,*
"Rajaram & Neely (1992), exp. 1",English,48,50,30,37,7,
"Rajaram & Neely (1992), exp. 2",English,48,50,45,78,33,
"Wu (2012), exp. 5",English,64,60,31,64,33,*
"Wu (2012), exp. 5",English,64,40,33,51,18,*
